Title,Year,Medium,Length (min),Notes,Location,On Loan?,IMDB Link,Wikipedia Link
Anchorman: The Legend of Ron Burgundy,2004,DVD,94,,Black Case,,https://www.imdb.com/title/tt0357413/,https://en.wikipedia.org/wiki/Anchorman:_The_Legend_of_Ron_Burgundy
Baby Driver,2017,DVD,113,Haven’t seen yet,Orange Case,,https://www.imdb.com/title/tt3890160/,https://en.wikipedia.org/wiki/Baby_Driver
Back to the Future,1985,DVD,116,,,,https://www.imdb.com/title/tt0088763/,https://en.wikipedia.org/wiki/Back_to_the_Future
Battlestar Galactica,1978,DVD,125,Haven’t seen yet,Silver Case,,https://www.imdb.com/title/tt0077215/,https://en.wikipedia.org/wiki/List_of_Battlestar_Galactica_(1978_TV_series)_and_Galactica_1980_episodes#Theatrical_releases
Blade Runner 2049,2017,Blu-ray,164,Haven't seen yet,,,https://www.imdb.com/title/tt1856101/,https://en.wikipedia.org/wiki/Blade_Runner_2049
Casino Royale,2006,DVD,144,James Bond,Orange Case,,https://www.imdb.com/title/tt0381061/,https://en.wikipedia.org/wiki/Casino_Royale_(2006_film)
Coco,2017,DVD,105,,Black Case,,https://www.imdb.com/title/tt2380307/,https://en.wikipedia.org/wiki/Coco_(2017_film)
"Crouching Tiger, Hidden Dragon",2000,DVD,120,Haven’t seen yet,Orange Case,,https://www.imdb.com/title/tt0190332/,"https://en.wikipedia.org/wiki/Crouching_Tiger,_Hidden_Dragon"
Despicable Me,2010,DVD,95,,Orange Case,,https://www.imdb.com/title/tt1323594/,https://en.wikipedia.org/wiki/Despicable_Me
Dune,1984,DVD,137,,Black Case,,https://www.imdb.com/title/tt0087182/,https://en.wikipedia.org/wiki/Dune_(1984_film)
Flash Gordon,1980,DVD,111,,Silver Case,,https://www.imdb.com/title/tt0080745/,https://en.wikipedia.org/wiki/Flash_Gordon_(film)
Hidden Figures,2016,DVD,127,,,,https://www.imdb.com/title/tt4846340/,https://en.wikipedia.org/wiki/Hidden_Figures
Howl’s Moving Castle,2004,DVD,119,,Silver Case,,https://www.imdb.com/title/tt0347149/,https://en.wikipedia.org/wiki/Howl%27s_Moving_Castle_(film)
Howl’s Moving Castle,2004,Blu-ray,119,,Disc Case,,https://www.imdb.com/title/tt0347149/,https://en.wikipedia.org/wiki/Howl%27s_Moving_Castle_(film)
Hugo,2011,DVD,126,,Black Case,,https://www.imdb.com/title/tt0970179/,https://en.wikipedia.org/wiki/Hugo_(film)
Ice Age,2002,DVD,81,,Orange Case,,https://www.imdb.com/title/tt0268380/,https://en.wikipedia.org/wiki/Ice_Age_(2002_film)
Identity Thief,2013,DVD,121,Haven’t seen yet,Black Case,,https://www.imdb.com/title/tt2024432/,https://en.wikipedia.org/wiki/Identity_Thief
Jurassic Park,1993,DVD,127,,Black Case,,https://www.imdb.com/title/tt0107290/,https://en.wikipedia.org/wiki/Jurassic_Park_(film)
Life of Pi,2012,DVD,127,Haven’t seen yet,Orange Case,,https://www.imdb.com/title/tt0454876/,https://en.wikipedia.org/wiki/Life_of_Pi_(film)
Maze Runner: The Scorch Trials,2015,DVD,131,Haven’t seen yet,Black Case,,https://www.imdb.com/title/tt4046784/,https://en.wikipedia.org/wiki/Maze_Runner:_The_Scorch_Trials
Minions,2015,DVD,91,,Orange Case,,https://www.imdb.com/title/tt2293640/,https://en.wikipedia.org/wiki/Minions_(film)
Monty Python and the Holy Grail,1975,DVD,91,,Black Case,,https://www.imdb.com/title/tt0071853/,https://en.wikipedia.org/wiki/Monty_Python_and_the_Holy_Grail
